,reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
0,2026-03-28,wk inc flu hosp,0,01,quantile,0.01,506,2026-03-28
1,2026-03-28,wk inc flu hosp,0,01,quantile,0.025,508,2026-03-28
2,2026-03-28,wk inc flu hosp,0,01,quantile,0.05,512,2026-03-28
3,2026-03-28,wk inc flu hosp,0,01,quantile,0.1,521,2026-03-28
4,2026-03-28,wk inc flu hosp,0,01,quantile,0.15,529,2026-03-28
5,2026-03-28,wk inc flu hosp,0,01,quantile,0.2,538,2026-03-28
6,2026-03-28,wk inc flu hosp,0,01,quantile,0.25,546,2026-03-28
7,2026-03-28,wk inc flu hosp,0,01,quantile,0.3,554,2026-03-28
8,2026-03-28,wk inc flu hosp,0,01,quantile,0.35,563,2026-03-28
9,2026-03-28,wk inc flu hosp,0,01,quantile,0.4,571,2026-03-28
10,2026-03-28,wk inc flu hosp,0,01,quantile,0.45,580,2026-03-28
11,2026-03-28,wk inc flu hosp,0,01,quantile,0.5,588,2026-03-28
12,2026-03-28,wk inc flu hosp,0,01,quantile,0.55,596,2026-03-28
13,2026-03-28,wk inc flu hosp,0,01,quantile,0.6,605,2026-03-28
14,2026-03-28,wk inc flu hosp,0,01,quantile,0.65,613,2026-03-28
15,2026-03-28,wk inc flu hosp,0,01,quantile,0.7,620,2026-03-28
16,2026-03-28,wk inc flu hosp,0,01,quantile,0.75,626,2026-03-28
17,2026-03-28,wk inc flu hosp,0,01,quantile,0.8,633,2026-03-28
18,2026-03-28,wk inc flu hosp,0,01,quantile,0.85,639,2026-03-28
19,2026-03-28,wk inc flu hosp,0,01,quantile,0.9,645,2026-03-28
20,2026-03-28,wk inc flu hosp,0,01,quantile,0.95,652,2026-03-28
21,2026-03-28,wk inc flu hosp,0,01,quantile,0.975,655,2026-03-28
22,2026-03-28,wk inc flu hosp,0,01,quantile,0.99,657,2026-03-28
23,2026-03-28,wk inc flu hosp,0,02,quantile,0.01,29,2026-03-28
24,2026-03-28,wk inc flu hosp,0,02,quantile,0.025,32,2026-03-28
25,2026-03-28,wk inc flu hosp,0,02,quantile,0.05,35,2026-03-28
26,2026-03-28,wk inc flu hosp,0,02,quantile,0.1,43,2026-03-28
27,2026-03-28,wk inc flu hosp,0,02,quantile,0.15,50,2026-03-28
28,2026-03-28,wk inc flu hosp,0,02,quantile,0.2,57,2026-03-28
29,2026-03-28,wk inc flu hosp,0,02,quantile,0.25,65,2026-03-28
30,2026-03-28,wk inc flu hosp,0,02,quantile,0.3,72,2026-03-28
31,2026-03-28,wk inc flu hosp,0,02,quantile,0.35,78,2026-03-28
32,2026-03-28,wk inc flu hosp,0,02,quantile,0.4,80,2026-03-28
33,2026-03-28,wk inc flu hosp,0,02,quantile,0.45,82,2026-03-28
34,2026-03-28,wk inc flu hosp,0,02,quantile,0.5,84,2026-03-28
35,2026-03-28,wk inc flu hosp,0,02,quantile,0.55,86,2026-03-28
36,2026-03-28,wk inc flu hosp,0,02,quantile,0.6,88,2026-03-28
37,2026-03-28,wk inc flu hosp,0,02,quantile,0.65,90,2026-03-28
38,2026-03-28,wk inc flu hosp,0,02,quantile,0.7,93,2026-03-28
39,2026-03-28,wk inc flu hosp,0,02,quantile,0.75,96,2026-03-28
40,2026-03-28,wk inc flu hosp,0,02,quantile,0.8,99,2026-03-28
41,2026-03-28,wk inc flu hosp,0,02,quantile,0.85,103,2026-03-28
42,2026-03-28,wk inc flu hosp,0,02,quantile,0.9,106,2026-03-28
43,2026-03-28,wk inc flu hosp,0,02,quantile,0.95,109,2026-03-28
44,2026-03-28,wk inc flu hosp,0,02,quantile,0.975,110,2026-03-28
45,2026-03-28,wk inc flu hosp,0,02,quantile,0.99,111,2026-03-28
46,2026-03-28,wk inc flu hosp,0,04,quantile,0.01,983,2026-03-28
47,2026-03-28,wk inc flu hosp,0,04,quantile,0.025,987,2026-03-28
48,2026-03-28,wk inc flu hosp,0,04,quantile,0.05,995,2026-03-28
49,2026-03-28,wk inc flu hosp,0,04,quantile,0.1,1009,2026-03-28
50,2026-03-28,wk inc flu hosp,0,04,quantile,0.15,1024,2026-03-28
51,2026-03-28,wk inc flu hosp,0,04,quantile,0.2,1039,2026-03-28
52,2026-03-28,wk inc flu hosp,0,04,quantile,0.25,1054,2026-03-28
53,2026-03-28,wk inc flu hosp,0,04,quantile,0.3,1068,2026-03-28
54,2026-03-28,wk inc flu hosp,0,04,quantile,0.35,1083,2026-03-28
55,2026-03-28,wk inc flu hosp,0,04,quantile,0.4,1098,2026-03-28
56,2026-03-28,wk inc flu hosp,0,04,quantile,0.45,1112,2026-03-28
57,2026-03-28,wk inc flu hosp,0,04,quantile,0.5,1127,2026-03-28
58,2026-03-28,wk inc flu hosp,0,04,quantile,0.55,1142,2026-03-28
59,2026-03-28,wk inc flu hosp,0,04,quantile,0.6,1156,2026-03-28
60,2026-03-28,wk inc flu hosp,0,04,quantile,0.65,1171,2026-03-28
61,2026-03-28,wk inc flu hosp,0,04,quantile,0.7,1182,2026-03-28
62,2026-03-28,wk inc flu hosp,0,04,quantile,0.75,1192,2026-03-28
63,2026-03-28,wk inc flu hosp,0,04,quantile,0.8,1201,2026-03-28
64,2026-03-28,wk inc flu hosp,0,04,quantile,0.85,1211,2026-03-28
65,2026-03-28,wk inc flu hosp,0,04,quantile,0.9,1220,2026-03-28
66,2026-03-28,wk inc flu hosp,0,04,quantile,0.95,1230,2026-03-28
67,2026-03-28,wk inc flu hosp,0,04,quantile,0.975,1234,2026-03-28
68,2026-03-28,wk inc flu hosp,0,04,quantile,0.99,1237,2026-03-28
69,2026-03-28,wk inc flu hosp,0,05,quantile,0.01,394,2026-03-28
70,2026-03-28,wk inc flu hosp,0,05,quantile,0.025,397,2026-03-28
71,2026-03-28,wk inc flu hosp,0,05,quantile,0.05,401,2026-03-28
72,2026-03-28,wk inc flu hosp,0,05,quantile,0.1,411,2026-03-28
73,2026-03-28,wk inc flu hosp,0,05,quantile,0.15,420,2026-03-28
74,2026-03-28,wk inc flu hosp,0,05,quantile,0.2,430,2026-03-28
75,2026-03-28,wk inc flu hosp,0,05,quantile,0.25,439,2026-03-28
76,2026-03-28,wk inc flu hosp,0,05,quantile,0.3,449,2026-03-28
77,2026-03-28,wk inc flu hosp,0,05,quantile,0.35,455,2026-03-28
78,2026-03-28,wk inc flu hosp,0,05,quantile,0.4,456,2026-03-28
79,2026-03-28,wk inc flu hosp,0,05,quantile,0.45,457,2026-03-28
80,2026-03-28,wk inc flu hosp,0,05,quantile,0.5,458,2026-03-28
81,2026-03-28,wk inc flu hosp,0,05,quantile,0.55,460,2026-03-28
82,2026-03-28,wk inc flu hosp,0,05,quantile,0.6,461,2026-03-28
83,2026-03-28,wk inc flu hosp,0,05,quantile,0.65,462,2026-03-28
84,2026-03-28,wk inc flu hosp,0,05,quantile,0.7,463,2026-03-28
85,2026-03-28,wk inc flu hosp,0,05,quantile,0.75,466,2026-03-28
86,2026-03-28,wk inc flu hosp,0,05,quantile,0.8,468,2026-03-28
87,2026-03-28,wk inc flu hosp,0,05,quantile,0.85,470,2026-03-28
88,2026-03-28,wk inc flu hosp,0,05,quantile,0.9,472,2026-03-28
89,2026-03-28,wk inc flu hosp,0,05,quantile,0.95,474,2026-03-28
90,2026-03-28,wk inc flu hosp,0,05,quantile,0.975,475,2026-03-28
91,2026-03-28,wk inc flu hosp,0,05,quantile,0.99,476,2026-03-28
92,2026-03-28,wk inc flu hosp,0,06,quantile,0.01,2427,2026-03-28
93,2026-03-28,wk inc flu hosp,0,06,quantile,0.025,2435,2026-03-28
94,2026-03-28,wk inc flu hosp,0,06,quantile,0.05,2448,2026-03-28
95,2026-03-28,wk inc flu hosp,0,06,quantile,0.1,2474,2026-03-28
96,2026-03-28,wk inc flu hosp,0,06,quantile,0.15,2501,2026-03-28
97,2026-03-28,wk inc flu hosp,0,06,quantile,0.2,2527,2026-03-28
98,2026-03-28,wk inc flu hosp,0,06,quantile,0.25,2553,2026-03-28
99,2026-03-28,wk inc flu hosp,0,06,quantile,0.3,2580,2026-03-28
100,2026-03-28,wk inc flu hosp,0,06,quantile,0.35,2598,2026-03-28
101,2026-03-28,wk inc flu hosp,0,06,quantile,0.4,2603,2026-03-28
102,2026-03-28,wk inc flu hosp,0,06,quantile,0.45,2607,2026-03-28
103,2026-03-28,wk inc flu hosp,0,06,quantile,0.5,2611,2026-03-28
104,2026-03-28,wk inc flu hosp,0,06,quantile,0.55,2615,2026-03-28
105,2026-03-28,wk inc flu hosp,0,06,quantile,0.6,2619,2026-03-28
106,2026-03-28,wk inc flu hosp,0,06,quantile,0.65,2624,2026-03-28
107,2026-03-28,wk inc flu hosp,0,06,quantile,0.7,2654,2026-03-28
108,2026-03-28,wk inc flu hosp,0,06,quantile,0.75,2698,2026-03-28
109,2026-03-28,wk inc flu hosp,0,06,quantile,0.8,2743,2026-03-28
110,2026-03-28,wk inc flu hosp,0,06,quantile,0.85,2787,2026-03-28
111,2026-03-28,wk inc flu hosp,0,06,quantile,0.9,2831,2026-03-28
112,2026-03-28,wk inc flu hosp,0,06,quantile,0.95,2875,2026-03-28
113,2026-03-28,wk inc flu hosp,0,06,quantile,0.975,2897,2026-03-28
114,2026-03-28,wk inc flu hosp,0,06,quantile,0.99,2910,2026-03-28
115,2026-03-28,wk inc flu hosp,0,08,quantile,0.01,522,2026-03-28
116,2026-03-28,wk inc flu hosp,0,08,quantile,0.025,527,2026-03-28
117,2026-03-28,wk inc flu hosp,0,08,quantile,0.05,536,2026-03-28
118,2026-03-28,wk inc flu hosp,0,08,quantile,0.1,554,2026-03-28
119,2026-03-28,wk inc flu hosp,0,08,quantile,0.15,572,2026-03-28
120,2026-03-28,wk inc flu hosp,0,08,quantile,0.2,589,2026-03-28
121,2026-03-28,wk inc flu hosp,0,08,quantile,0.25,607,2026-03-28
122,2026-03-28,wk inc flu hosp,0,08,quantile,0.3,625,2026-03-28
123,2026-03-28,wk inc flu hosp,0,08,quantile,0.35,638,2026-03-28
124,2026-03-28,wk inc flu hosp,0,08,quantile,0.4,640,2026-03-28
125,2026-03-28,wk inc flu hosp,0,08,quantile,0.45,642,2026-03-28
126,2026-03-28,wk inc flu hosp,0,08,quantile,0.5,644,2026-03-28
127,2026-03-28,wk inc flu hosp,0,08,quantile,0.55,646,2026-03-28
128,2026-03-28,wk inc flu hosp,0,08,quantile,0.6,648,2026-03-28
129,2026-03-28,wk inc flu hosp,0,08,quantile,0.65,650,2026-03-28
130,2026-03-28,wk inc flu hosp,0,08,quantile,0.7,654,2026-03-28
