state,rho_global_mean,rho_season_sd,fI_global_mean,fI_season_sd,fR_global_mean,fR_season_sd,psi_1,psi_2,phi,omega,a_garch,b_garch,alpha_inv,rho_state,fI_state,fR_state,delta_beta_state_mean_0,delta_beta_state_mean_1,delta_beta_state_mean_2,delta_beta_state_mean_3,delta_beta_state_mean_4,delta_beta_state_mean_5,delta_beta_state_mean_6,delta_beta_state_mean_7,delta_beta_state_mean_8,delta_beta_state_mean_9,delta_beta_state_mean_10,delta_beta_state_mean_11,delta_beta_state_mean_12,delta_beta_state_mean_13,delta_beta_state_mean_14,delta_beta_state_mean_15,delta_beta_state_mean_16,delta_beta_state_mean_17,delta_beta_state_mean_18,delta_beta_state_mean_19,delta_beta_state_mean_20,delta_beta_state_mean_21,delta_beta_state_mean_22,delta_beta_state_mean_23,delta_beta_state_mean_24,delta_beta_state_mean_25,delta_beta_state_mean_26,delta_beta_state_mean_27,delta_beta_state_mean_28,delta_beta_state_mean_29,delta_beta_state_mean_30,delta_beta_state_mean_31,delta_beta_state_mean_32,delta_beta_state_mean_33,delta_beta_state_mean_34
AL,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.001404554654891547,1.4616249873276927,1.4140685323024784,0.9361673632452907,-0.01999772142193976,-0.21262460662233243,-0.03199174869500066,0.044777221537285646,-0.0014209013040139315,-0.011885230778700226,0.033995475341526374,0.11156538537770724,0.16403550156653446,0.12499989525761772,0.03866957770171877,0.02255660421260567,0.11728682304770227,0.2389901992920075,0.29732411085876476,0.21569982884693456,-0.003955551028309593,-0.1693719379642486,-0.12295304608786492,0.008957753660605835,0.06443429052490317,0.032348293965699465,-0.03062344262402805,-0.07759413622641688,-0.07542861636531023,-0.03904133262794034,-0.025729287898779055,-0.0575216544161681,-0.10304672655352912,-0.1393480277635828,-0.1294550879736674,-0.07350705769956306,-0.04772150965316497,-0.06680377810932411,0.02321379131830047
AK,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0005349410205170979,0.43847561630603804,3.7743176611931797,0.872715480868778,0.17903928908975394,-0.07914740271564547,-0.04025437640697471,-0.0558815864648463,-0.07421266667307674,0.0521186887555212,0.20768510424483222,0.17945189631660027,0.007104681582586916,-0.0474160982607439,0.05333039715432568,0.12713982377075958,0.09384364700160186,0.07801034940153326,0.13218338809910724,0.15228190165190028,0.07282819596358336,0.0022219258145833205,0.01718082529891158,0.06464106357808605,0.07690778809344298,0.0706645690342618,0.111310720444097,0.15433702662934978,0.18742927557373507,0.18764414087876574,0.17649426060425732,0.15947685502907832,0.14770531809512033,0.12293459836819406,0.08923980919634092,0.0594877941479334,0.10681892915737778,0.23813233793924612,0.260418780478087
AZ,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0030381803783362804,2.1371283158131598,0.679929566426332,0.9347259306740917,-0.017664234965377015,-0.005471993178994558,-0.01113801189702733,0.018520200916930664,0.06277303043712948,0.0888242054966131,0.10247724822541722,0.1370745350144481,0.16918071292833387,0.15489138711934708,0.09508560964447882,0.04903079569173094,0.07074750504464129,0.15368920024050475,0.24705635415657184,0.21623969847517532,-6.335101710390397e-05,-0.18028574949429846,-0.12522246913640145,0.008837206245238274,0.027893042070627653,-0.025175553618352872,-0.025086565811242776,0.009144344551707987,-0.0024121666820551496,-0.04570700520815847,-0.06116074975963734,-0.046953219487428026,-0.06716287090301241,-0.11025784835658375,-0.07755199322859868,0.04071230865641071,0.10697389690276059,0.021028699964644744,-0.011177155476896598
AR,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0015884443126864662,1.3753737457841764,0.8965792873257112,0.9932686799335944,0.0014411044928944582,0.03286478873308683,0.06412709922425058,0.01827825098479926,-0.051352249229804955,-0.015878581579362033,0.08193329819162225,0.13561135115760337,0.12879622625973586,0.11219135391385643,0.108275697465092,0.09478553154499081,0.10707082211624369,0.18872516186512067,0.3074112167563079,0.301249566834741,0.0968388397867394,-0.07321642558683605,0.0030893065280567294,0.16379931065305567,0.18751159216266816,0.10062094208290626,0.026320169302341153,-0.0023259985863360337,0.004639249528858858,0.016236245696157905,-0.012897284212682606,-0.08376164351937812,-0.1349806807784228,-0.1361080431414337,-0.09976262958431482,-0.04695334295207365,0.007934782804108878,0.05274128202520864,0.005162991518644361
CA,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0034722880581729435,0.9853108545312455,1.0821587811167301,0.9601304161281324,-0.03226439685225915,0.021761940967470653,-0.01039615168634484,-0.004584945586247821,0.03047643249645106,0.05260756361293403,0.05868429947096117,0.09439336282822226,0.14882635102764763,0.15196545444677786,0.12384007687717685,0.10224821216187671,0.12509635996773902,0.17024596678463594,0.1982592259065584,0.16023292372223785,0.037110168184810555,-0.058104879572057525,-0.03395424692540896,0.03252830668838217,0.03428075169082614,-0.01012520010821095,-0.047078313309304315,-0.06239280774879434,-0.06621115056804525,-0.05655647073145593,-0.044391319122695096,-0.02707867406887199,-0.01614449435809853,-0.020788271106420505,-0.0021309301605761215,0.03465092968939476,0.03099132602348502,-0.023594976177243005,-0.05640290782044213
CO,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0017095566147005948,0.5089409962200888,0.6151145946562224,1.0017757366812736,0.11902243076569319,0.2432067902724348,0.1376428930419611,0.052203551319821476,0.048668005472960206,0.09936814946466431,0.16508409080434328,0.21482745902216832,0.23076278143031587,0.22519430369339452,0.1974385276975219,0.15446186983247673,0.12202408598368433,0.16743346127082892,0.2755132251426464,0.29300870263460294,0.13133187327623408,-0.0336356993178807,-0.02449906844757468,0.08163580882491586,0.1644249837524907,0.1939720160754907,0.17480583279363301,0.14985106231049863,0.16467972395675148,0.2110985526253718,0.2096637556371895,0.16975928365220402,0.1288044600875154,0.10885052377250018,0.14190102020559353,0.20416747556774653,0.2528183570291847,0.24518680893824518,0.1838316101869765
CT,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.001421462707743465,0.8001255880638358,1.3537119434172271,0.9217720947991805,0.03874280256871201,0.07498990400832428,-0.10236795465925921,-0.23643347385723795,-0.21385832462304633,-0.013393936705776122,0.21329100627924574,0.20129253495314897,0.035173730387847435,0.011662763923844924,0.16940919574242047,0.24133783208331072,0.18140658150817104,0.17244287406874245,0.28029993507323236,0.29621694453661707,0.10761714497435448,-0.08564979005361306,-0.08209611950082621,0.002728388780154955,0.013339309071972442,-0.008717489030087044,0.03549663526645597,0.10672399008957631,0.10228400901690217,0.031787517059316844,0.013944081510316477,0.058427554832045286,0.07543974744174536,0.05625027036198191,0.06973118967768255,0.11597794685042073,0.10330447036163096,-0.04291696068017592,-0.17990460211493187
DE,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.000478241063598056,1.0252800840192675,0.19619495459750372,1.0556734440909206,0.06403646248855505,-0.07283543521806496,-0.18878413386479498,-0.14228267802249261,0.06979658460418432,0.2744394870983188,0.39041434847413514,0.45084708607534396,0.432383573142962,0.31486611011290916,0.17417694131667888,0.1519977325264722,0.27099417561230216,0.3854436627366026,0.41301583899648986,0.3313486317726214,0.13516460285126808,-0.02587937796734157,-0.026421307851557076,0.0631227234921409,0.11578944250954658,0.1272263229317766,0.10900721985178352,0.09283343588596557,0.07990353891365998,0.07584380471883023,0.05589600061714954,0.03133580879562001,0.024942621315359688,0.033752815969032415,-0.004123707466903337,-0.0503411808655005,0.029881753450624306,0.20777423187782856,-0.021640101922591796
DC,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0022045067702431117,1.0494985252998652,0.2750863511902373,0.9493583179634463,-0.01442107462262602,0.22308682354813475,0.34240454782027197,0.2819707623601184,0.06470935947541384,-0.27472615590304617,-0.43317975321974733,-0.14909639037320435,0.4131055907609873,0.5570943892100334,0.35631350053869015,0.08440744952704206,0.03762039477719373,0.15212249412307333,0.3017952502902751,0.30173343479102155,0.08065708256104412,-0.10719336919404775,-0.036205896249766154,0.08709517699455152,0.00980623881218057,-0.11984524084917397,-0.07033974597963358,0.09057167132803262,0.1495864117148911,0.10433204001015796,0.053940599298305254,0.05244189791008045,0.03254037689212182,-0.004396922735947575,-0.017280594610231417,-0.006858109141315449,-0.019261549220667244,-0.05791604754297865,0.08181423028624227
FL,0.010128166616193432,0.20763998969601222,4.9876780835873466e-05,0.5234747505894942,0.3579992372177359,0.07092134236454273,0.8294743526678456,0.28580505173420456,0.375,0.005,0.0,0.0,0.0033118965615471126,1.3670519113846897,3.9984907009840915,1.0033513272135266,0.006300418134835452,-0.05157079206849936,-0.017780896659696323,0.020523079048746666,0.04075081922243484,0.06696173790737893,0.10121768559727663,0.13216274129538796,0.14732303277315095,0.14275174463309914,0.12062551218838763,0.07599055258835631,0.037771344076124466,0.07517350352735033,0.18619750348408243,0.22157469586993228,0.119432078585791,-0.006588314863302461,-0.02080233868643428,0.03853582079683104,0.0982020032960797,0.12116727117269727,0.07132366434288698,-0.0001244377007694475,-0.016495552363852542,0.016203880898011988,0.027385211804388798,0.005038632460130281,-0.023755224064458933,-0.00902271262748489,0.028128676618030125,0.06637221740267818,0.07496449923869916,0.04578500685961999,0.06993617217005357
