,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"H[2023-2024, AL, 0]",13.622135569059346,1.9458532523073357,10.475258441720339,17.028171916308608,698.2806134988732,438.5988153830269,0.9953721505781993,0.07386835542053607,0.05036127645951958
"H[2023-2024, AL, 1]",14.643684365675044,1.4834907925177323,12.370803498961727,17.28511917130424,515.5081273741699,456.489358872546,1.0005728933374656,0.0653058601782178,0.04490047929768858
"H[2023-2024, AL, 2]",15.697223553790723,1.4862940345852906,13.51006289558154,18.028778836950487,366.72972299543255,409.3765737073481,1.008203904053814,0.07732551499068512,0.055952494497158896
"H[2023-2024, AL, 3]",16.654804471729324,1.726113495509402,14.06907380789922,19.580685266879,456.1345645136087,408.5809986837761,1.001056254867396,0.07989669922703743,0.06248845502970448
"H[2023-2024, AL, 4]",15.532819887505463,1.9244624891259017,12.701581802558,18.66155436129997,214.60383602836183,279.27974796959467,1.0245793878041933,0.13227565746422856,0.09145597899978546
"H[2023-2024, AL, 5]",12.347880082988004,2.1161284878595983,9.339589329279269,15.797903283010237,413.512326812632,294.1372241413948,1.008812149837559,0.09807301967258826,0.0761799641711076
"H[2023-2024, AL, 6]",15.48107489002814,2.2374237771525953,12.35924424744098,19.462172421827532,585.7962836341298,251.5693465248366,1.009739628560934,0.09199093418545888,0.06664578963371733
"H[2023-2024, AL, 7]",20.601574668999238,2.9981227699318596,16.01380260696058,25.67447057106815,662.1560778269898,469.13142498670345,1.0228800460428984,0.11516439068537404,0.08557499402269889
"H[2023-2024, AL, 8]",23.968633036639147,3.124577421087598,19.204570731477876,29.200671315426586,555.6060907982496,424.9846539216084,0.9982685585602646,0.13398998056561573,0.09642653846259032
"H[2023-2024, AL, 9]",26.22444100823731,3.3198520751378413,21.321548481538635,31.931797016264376,369.72973007250994,355.3404453608124,0.9984607627560864,0.17357334820213474,0.1221945013083318
"H[2023-2024, AL, 10]",30.24115560642542,3.348106755628962,24.79628726677204,35.598585078404106,411.05014266191,409.9404307576849,1.0047790464520165,0.1655962376089041,0.11225793400135195
"H[2023-2024, AL, 11]",39.79397636529868,4.124876654222949,33.092056638171535,46.81746115685508,455.7886914035598,370.31769193984144,1.0044082152001643,0.1930030318377631,0.12632552064895045
