state,rho_global_mean,rho_season_sd,fI_global_mean,fI_season_sd,fR_global_mean,fR_season_sd,psi_1,psi_2,phi_global_mean,phi_season_sd,kappa_global_mean,kappa_season_sd,omega,nu,alpha_inv,rho_state,fI_state,fR_state,phi_state,kappa_state,delta_beta_state_mean_0,delta_beta_state_mean_1,delta_beta_state_mean_2,delta_beta_state_mean_3,delta_beta_state_mean_4,delta_beta_state_mean_5,delta_beta_state_mean_6,delta_beta_state_mean_7,delta_beta_state_mean_8,delta_beta_state_mean_9,delta_beta_state_mean_10,delta_beta_state_mean_11,delta_beta_state_mean_12,delta_beta_state_mean_13,delta_beta_state_mean_14,delta_beta_state_mean_15,delta_beta_state_mean_16,delta_beta_state_mean_17,delta_beta_state_mean_18,delta_beta_state_mean_19,delta_beta_state_mean_20,delta_beta_state_mean_21,delta_beta_state_mean_22,delta_beta_state_mean_23,delta_beta_state_mean_24,delta_beta_state_mean_25
AL,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0026821419266745703,0.9192049381050096,1.083644402886601,1.000003196750133,0.9118720106048042,1.013837696926942,0.003580264703599366,-0.03984047771337086,0.04660210776447675,0.17021297449054335,0.09359010412435076,0.028415126909311535,0.015226622229140764,0.13905892112784363,0.16106488737958954,0.34992305595050943,0.12021317017975017,-0.0012961436163537365,-0.18280288652955162,-0.09118693617373784,0.058795898683719164,-0.03947810002437021,0.08218413884631606,0.03259775281087498,-0.06301836677420292,-0.027689993097559623,0.07722620593217548,-0.06366589675342225,-0.053419066977268385,0.01432287801859615,-0.14003751811530132,-0.10438531267678043
AK,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0023795100832309734,1.6094412582193067,2.2403812580014746,1.002052732922876,0.8971233988071021,1.0693160936420103,0.0057882592049781625,0.08580859278471298,-0.005178662441580732,0.11752923763659687,-0.21670097541974132,0.02448929540493265,0.010774376164515003,0.1291131141323104,-0.09923112968482661,0.15604369576723098,0.10896663368000564,0.07627115647620875,-0.12736030355002437,-0.01786654748900856,-0.09109659645246815,0.0015315208074148947,-0.06741879107149656,-0.0211293054961359,-0.12849772041998037,0.14396310790524153,0.04380501200657743,-0.08280871425246747,0.00977767143084533,0.03823450782900684,-0.050375633137587014,-0.0974302736973165
AZ,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.004408299792358971,2.5397683906531143,0.3613484143616912,0.9999995091196006,1.0797112320138464,1.1626873455739717,0.0845315331640023,0.15735156304195436,-0.08950129259102788,0.20363410229795714,0.11757150113279607,0.07365971258265362,0.0026683273649327223,0.09379491063837841,0.11574680260204959,0.18013768242552158,0.17574236710079522,-0.03711387156193139,-0.2180802498838623,-0.08786765430344504,0.050785482114798546,-0.03490167412815044,-0.049855987431083965,0.01299364898222228,-0.021303064226810324,0.01713000372414085,-0.08889442631887026,-0.038030247095643316,-0.054937911932330975,-0.05374122810928439,-0.17357163947814347,0.009591264277961347
AR,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0030269206798496876,1.347517516939945,0.7845662837384989,0.9999409605629895,1.0498488279588125,1.0646125723333013,-0.08887146165870702,-0.059496851821134664,0.09950092267295844,0.0802550366876952,-0.011947913437004888,0.13766379139213597,0.048601065472774624,0.008553164189810315,0.10562929137867227,0.1855467424522504,0.2809427673346553,0.023104552320022148,-0.13000924541846898,0.017465463638025754,0.13717876981093297,0.027537286688201705,0.07276599185223867,-8.85459124776276e-05,-0.05221698556645753,0.01720818712604883,0.013393286389219411,-0.04882636878236775,-0.14328505306156447,-0.07961824311214943,-0.08783303973330105,-0.15376203789597576
CA,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.004420216618401904,0.7306344574750281,0.7495108296557428,1.0000958300025018,1.0459603447205037,1.0333394209703894,0.01155039858592881,0.08783103545263547,0.012696472103063659,0.16921371976448557,0.11834410731212176,0.057568370909508754,0.12140401097430734,0.10908144698146244,0.07811204900630922,0.2222243567563036,0.11974069872104692,0.0024594940369079155,-0.11800100547534786,0.062349143761332215,0.01220622982198426,-0.004255810302002131,0.01810315406587855,-0.045898494359500115,-0.06453143574376334,-0.024163732844084462,-0.08603326926155472,-0.001324170000805474,-0.0001592861954476785,-0.06397296240459659,-0.026073924714865276,0.06759822969873286
CO,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0028886263287796294,0.8029148143905517,0.6978715462298513,0.999882793629715,1.1502379412805754,1.0447748958038972,-0.020969095289470562,0.13374382886020914,0.07009403728399394,0.08678219397300924,0.15836707250811488,0.13609213345840165,0.0652318631346939,0.07208820965099368,0.14586889351347138,0.11650335044223034,0.2544326853107318,-0.0007059283247732415,-0.12383333122939517,-0.11920575164434019,0.015227480143880472,0.023535581626694967,0.07112208321673158,0.01611192314381031,0.014519853159142325,-0.0017480806698472319,-0.02372816330156994,0.057656473506638176,0.013226063927122143,-0.1187709062980243,-0.03065002243601695,-0.0069704939163140805
CT,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0028325810376991665,0.9200498420394393,0.810802143356098,1.0007517195711775,1.1035435220276555,1.0440952256821343,-0.0626536703052549,0.08965680741666351,0.056923800718201835,-0.07081113082624016,0.0761912243000236,0.1316808036766682,0.26267371288044505,0.041154573462423294,0.24517936459346376,0.10169178989719671,0.3049428302974021,0.11656582253981199,-0.11257366127824511,-0.09357718558922155,0.06311539698054232,-0.04107360114940374,0.06635553373017716,-0.04613042320289856,0.07186160968220681,0.10009918522955644,0.03630007794373023,-0.020596122480657668,-0.032958062568742896,0.0855218757083568,0.0350281313625779,0.04147158357520095
DE,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0023893747074315297,1.3327602969123356,1.3218027560398167,0.999983170962598,0.9562548655642458,1.00721798331901,-0.17276540159846637,0.034017514733345675,0.0502138568428508,-0.0138854444409278,0.0478338613224327,-0.02124537917534785,-0.03754776130680093,0.20103223560735448,0.18802330302835324,0.2784754196642694,0.33406082524900227,0.018289322622242428,-0.15885448530918092,-0.06157668239321186,-0.024829250367284384,0.021248404824633936,-0.040504185811808646,0.11224883345286288,-0.08926638456180092,0.014852712672895035,-0.06048029604218805,-0.009050849631785334,-0.13151106779444693,-0.17506746233566037,0.09732445872418811,-0.1707513076300172
DC,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.0025805534342707255,1.513782019412976,1.9944288646480026,1.0000008053221978,0.9397927978498155,1.0636864916753734,-0.0648755229689352,-0.038632153769792024,-0.2137459839599059,0.03175605223134008,0.1662775166231987,0.1145077570970082,-0.02309500384377766,0.06961234886931109,0.08765629558881516,0.3035443007726596,0.25180206687854,0.09697606395076529,-0.2013583687551606,-0.13091401718802537,0.04560557418947713,-0.1953663350584327,0.04398760921580924,-0.11710053576685364,0.07031466111333066,0.00961732206006154,0.2404492734680066,-0.20588213897015262,-0.08162372440801807,0.05527165719907025,0.014337573668849718,-0.0009858924152051237
FL,0.009893482186454763,0.33757649974930953,0.00010981326514755329,0.4194250321386652,0.3484756070005202,0.010964772412703319,0.5395149294680304,0.3474759743759387,0.25334460144747284,0.20022527446029778,0.7977502178761677,0.11327779327637821,0.005655215713211448,0.4095599604554526,0.005121026695886866,1.3138281511149255,1.602290204019235,1.0000624880472113,1.0429050466852918,0.9538762715564648,0.11660346712852333,-0.04681481606146389,0.07693692460393181,0.1387118848375706,0.07800159396712816,0.0488031572842591,0.049676934619398636,0.016156252735843278,0.038947411297150486,0.1530090840754216,0.16629983273567567,0.06924720384386202,-0.06694966889207976,-0.04131835705514269,0.019031804051520523,0.02958478058020842,0.09863885223474353,-0.005497714319776331,-0.04141645000294284,-0.06498278082687553,0.05706738043060745,-0.0075735227791302595,-0.03976155174867803,-0.030706795046519516,-0.047644043029159436,0.0040973596603279564
