reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2026-12-19,wk inc flu hosp,0,01,quantile,0.01,70,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.025,79,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.05,86,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.1,93,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.15,96,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.2,99,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.25,104,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.3,108,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.35,112,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.4,114,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.45,116,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.5,119,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.55,121,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.6,125,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.65,128,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.7,132,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.75,135,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.8,139,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.85,144,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.9,153,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.95,171,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.975,181,2026-12-19
2026-12-19,wk inc flu hosp,0,01,quantile,0.99,188,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.01,2,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.025,2,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.05,2,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.1,4,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.15,5,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.2,6,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.25,6,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.3,6,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.35,7,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.4,7,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.45,8,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.5,9,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.55,9,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.6,10,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.65,10,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.7,11,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.75,11,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.8,12,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.85,14,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.9,15,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.95,17,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.975,20,2026-12-19
2026-12-19,wk inc flu hosp,0,02,quantile,0.99,21,2026-12-19
2026-12-19,wk inc flu hosp,0,04,quantile,0.01,187,2026-12-19
2026-12-19,wk inc flu hosp,0,04,quantile,0.025,213,2026-12-19
2026-12-19,wk inc flu hosp,0,04,quantile,0.05,224,2026-12-19
2026-12-19,wk inc flu hosp,0,04,quantile,0.1,245,2026-12-19
2026-12-19,wk inc flu hosp,0,04,quantile,0.15,255,2026-12-19
2026-12-19,wk inc flu hosp,0,04,quantile,0.2,260,2026-12-19
2026-12-19,wk inc flu hosp,0,04,quantile,0.25,267,2026-12-19
