fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
1,AL,2026-05-30,2026-06-20,0.89,0.98
2,AK,2026-05-30,2026-06-20,0.929,0.985
4,AZ,2026-05-30,2026-06-20,1.0,1.0
5,AR,2026-05-30,2026-06-20,1.0,1.0
6,CA,2026-05-30,2026-06-20,1.0,0.924
8,CO,2026-05-30,2026-06-20,1.0,1.0
9,CT,2026-05-30,2026-06-20,0.965,0.993
10,DE,2026-05-30,2026-06-20,0.941,0.988
11,DC,2026-05-30,2026-06-20,0.873,0.976
12,FL,2026-05-30,2026-06-20,1.0,0.914
13,GA,2026-05-30,2026-06-20,0.93,0.984
15,HI,2026-05-30,2026-06-20,1.0,1.0
16,ID,2026-05-30,2026-06-20,0.95,0.99
17,IL,2026-05-30,2026-06-20,1.0,1.0
18,IN,2026-05-30,2026-06-20,1.0,1.0
19,IA,2026-05-30,2026-06-20,0.881,0.977
20,KS,2026-05-30,2026-06-20,0.912,0.982
21,KY,2026-05-30,2026-06-20,0.914,0.97
22,LA,2026-05-30,2026-06-20,1.0,1.0
23,ME,2026-05-30,2026-06-20,0.941,0.988
24,MD,2026-05-30,2026-06-20,1.0,1.0
25,MA,2026-05-30,2026-06-20,1.0,1.0
26,MI,2026-05-30,2026-06-20,1.0,1.0
27,MN,2026-05-30,2026-06-20,1.0,1.0
28,MS,2026-05-30,2026-06-20,1.0,1.0
29,MO,2026-05-30,2026-06-20,1.0,1.0
30,MT,2026-05-30,2026-06-20,0.852,0.959
31,NE,2026-05-30,2026-06-20,0.895,0.979
32,NV,2026-05-30,2026-06-20,1.0,1.0
33,NH,2026-05-30,2026-06-20,0.893,0.979
34,NJ,2026-05-30,2026-06-20,1.0,1.0
35,NM,2026-05-30,2026-06-20,0.963,0.992
36,NY,2026-05-30,2026-06-20,1.0,1.0
37,NC,2026-05-30,2026-06-20,1.0,1.0
38,ND,2026-05-30,2026-06-20,1.0,1.0
39,OH,2026-05-30,2026-06-20,1.0,1.0
40,OK,2026-05-30,2026-06-20,1.0,1.0
41,OR,2026-05-30,2026-06-20,0.921,0.984
42,PA,2026-05-30,2026-06-20,1.0,0.964
44,RI,2026-05-30,2026-06-20,0.923,0.984
45,SC,2026-05-30,2026-06-20,1.0,1.0
46,SD,2026-05-30,2026-06-20,0.875,0.976
47,TN,2026-05-30,2026-06-20,1.0,1.0
48,TX,2026-05-30,2026-06-20,1.0,1.0
49,UT,2026-05-30,2026-06-20,0.986,0.997
50,VT,2026-05-30,2026-06-20,0.94,0.987
51,VA,2026-05-30,2026-06-20,1.0,1.0
53,WA,2026-05-30,2026-06-20,1.0,1.0
54,WV,2026-05-30,2026-06-20,0.983,0.996
55,WI,2026-05-30,2026-06-20,0.944,0.988
56,WY,2026-05-30,2026-06-20,0.942,0.988
72,PR,2026-05-30,2026-06-20,1.0,1.0
