abbreviation_state,all,census_regions,quick_test
AL,0,1,0
AK,0,3,0
AZ,0,3,1
AR,0,1,1
CA,0,3,1
CO,0,3,1
CT,0,0,1
DE,0,1,1
DC,0,1,1
FL,0,1,1
GA,0,1,1
HI,0,3,1
ID,0,3,1
IL,0,2,1
IN,0,2,1
IA,0,2,1
KS,0,2,1
KY,0,1,1
LA,0,1,1
ME,0,0,1
MD,0,1,1
MA,0,0,1
MI,0,2,1
MN,0,2,1
MS,0,1,1
MO,0,2,1
MT,0,3,1
NE,0,2,1
NV,0,3,1
NH,0,0,1
NJ,0,0,1
NM,0,3,1
NY,0,0,1
NC,0,1,1
ND,0,2,1
OH,0,2,1
OK,0,1,1
OR,0,3,1
PA,0,0,1
RI,0,0,1
SC,0,1,1
SD,0,2,1
TN,0,1,1
TX,0,1,1
UT,0,3,1
VT,0,0,1
VA,0,1,1
WA,0,3,1
WV,0,1,1
WI,0,2,1
WY,0,3,1
PR,0,1,1
