training_name,reference_date,location,horizon,WIS,MAE
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,01,0,0.09323780364381806,0.09798040836020361
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,01,1,0.09677644502345799,0.04773140282118993
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,01,2,0.12130541495454782,0.16632121544751355
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,01,3,0.11655872298986421,0.15643378584182743
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,02,0,0.1292581376615914,0.03390155167568176
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,02,1,0.14647944781508163,0.04335044087361384
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,02,2,0.19598848958111595,0.18232155679395445
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,02,3,0.373594519119244,0.7217577146012111
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,04,0,0.5645430347880872,0.8132068250539208
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,04,1,0.19087556118781016,0.33827436361821883
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,04,2,0.3928507094997626,0.6861459851009619
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,04,3,0.41943312250987563,0.7225838528550752
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,05,0,0.1251246290603466,0.05931657715641947
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,05,1,0.12167496632772995,0.018576385572935727
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,05,2,0.18209734948051842,0.29266961396281976
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,05,3,0.1668365567627885,0.28256697178501033
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,06,0,0.10878357719763558,0.18633923998056634
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,06,1,0.08681020825598794,0.13534134786976182
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,06,2,0.14508825268497988,0.27941268096927363
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,06,3,0.1789952774639178,0.37413838888174045
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,08,0,0.09009530852810425,0.07232066157962613
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,08,1,0.1551177335863106,0.24686007793152598
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,08,2,0.14174358735710502,0.2664046740044963
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,08,3,0.33352885070690624,0.5784842722398054
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,09,0,0.14091998324420266,0.17095779814363965
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,09,1,0.12931952552113518,0.07976496846886283
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,09,2,0.4089283169859341,0.7884573603642704
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,09,3,0.1630977569692341,0.12695962746128808
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,10,0,0.4425776125690324,0.6592456288842639
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,10,1,0.3979908722034424,0.7339691750802005
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,10,2,0.485865933039244,1.0296194171811581
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,10,3,0.6186312404284708,1.5003668173797384
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,11,0,0.4553758142330625,0.8888917576860407
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,11,1,0.2677432896767837,0.19611487892629045
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,11,2,0.3744719449175048,1.0296194171811581
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,11,3,0.4090947291322683,0.8472978603872038
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,12,0,0.05391174457063154,0.017493157447517227
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,12,1,0.07591294326568854,0.10660973505825844
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,12,2,0.09592875277811445,0.15483397332839122
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,12,3,0.09585153950038135,0.13926961447483954
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,13,0,0.07207146258753623,0.022550825521896467
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,13,1,0.11712516328460894,0.22694583726394857
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,13,2,0.19824547868290843,0.37267528528517335
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,13,3,0.14762293940157473,0.30452658323144854
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,15,0,0.14963499809269343,0.13217177310848305
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,15,1,0.1764987122330576,0.19381593621968962
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,15,2,0.19901359164076618,0.22884157242884773
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,15,3,0.2768568181062486,0.4214975156392131
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,16,0,0.1437961750089689,0.21484474849951463
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,16,1,0.18274174362648765,0.2516230226360787
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,16,2,0.17974807616783187,0.2231435513142097
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,16,3,0.21966218466971538,0.37320424588994316
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,17,0,0.07492638341845119,0.03278982282299081
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,17,1,0.08139124146155122,0.02409755157906046
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,17,2,0.0849281846201779,0.050552279162831226
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,17,3,0.1135338798655328,0.1550719143465793
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,18,0,0.09095631232086318,0.06213178110700612
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,18,1,0.12833082352955796,0.18878212379689874
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,18,2,0.1679567360435916,0.32892503098583026
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,18,3,0.20812015876878018,0.35368436550233406
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,19,0,0.14813700116383152,0.17301916413164098
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,19,1,0.18249695965425763,0.2151113796169457
